Name,Website,Symbol,Ticker,Exchange,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Name,Industry,Sector,Year Founded,IPO Date,Headquarter Location,latitude,longitude,SEC ID,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"City, State,","City, County, State, Country",source,precision,CEO,CEO LinkedIn,CEO Pay,Salary Year,Arabesque Profile,Shortsqueeze Profile,,,Country,Sector,Size,Region,Industry,GC Score,ESG Score,Temperature Score,,State,Industry,Competency - Flexibility,Competency - Honesty,Competency - Changes according to the situation,Competency - Encourages initiative,Competency - Value driven decision-making,Competency - Delegating,Competency - Integrity,Competency - Leadership by example,Competency - Clear vision,Competency - Humility,Individual - Integrity/ethics,Individual - Analytic intelligence,Individual - Sense of urgency,Individual - Willingness to ask for help,Individual - Decision making,Individual - Ability to simplify,Individual - Creative Questioning approach,Individual - Leadership,Individual - Openness,Individual - Communications skills,Individual - People empathy,Individual - Potential problem identification,Individual - Vision/perspective,Individual - Ego drive,Individual - Non-political,Individual - Endurance,Individual - Willingness to take unqualified responsibility,Individual - Willingness to take the lead,Results Orientation - RESULTS ORIENTATION,Results Orientation - Market and customer knowledge,Results Orientation - Some familiarity with technology,Results Orientation - Articulates and champions a vision,"Results Orientation - Identifies, grows, and deploys core competencies",Results Orientation - Establishes strategy,Results Orientation - Focuses on profitability,Results Orientation - Builds a team,Results Orientation - Defines clear cut objectives,Results Orientation - Delivers objectives,Results Orientation - Removes obstacles for the team,Results Orientation - Establishes and enforces a culture,Results Orientation - Asks the right questions,Results Orientation - Focuses on both short and long term,Results Orientation - Early problem identification,Results Orientation - Ability to solve a problem,Results Orientation - Encourages continuous learning at all levels,Results Orientation - Reinforces mobility of the team and its core competencies
FirstEnergy Corp,firstenergycorp.com,FE,FE,NYSE,Utilities,30.64,11.18,4.67,-14.49,35.22,27.93,"13,706,075,072","-5,067,000,000",1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FE,FirstEnergy Corp,Utilities,Electric Utilities,1997,8/4/4723,"Akron, Ohio",41.08,-81.52,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,First Republic Bank,"Akron, Ohio","Akron, Summit County, OH, US",MapQuest,city/town,Charles Jones,2019,"14,684,659.00",2019,https://sray.arabesque.com/dashboard/001H0J-E/FirstEnergy_Corp.,https://shortsqueeze.com/?symbol=FE&submit=Short+Quote%E2%84%A2,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Products & Chemicals Inc,-,APD,APD,NYSE,Materials,152.8,24.22,2.78,13.66,175.17,133.63,"34,638,387,128","2,542,500,000",4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,Air Products & Chemicals Inc,Materials,Industrial Gases,1940,4/30/1985,"Allentown, Pennsylvania",40.6,-75.47,2969,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Allentown, Pennsylvania","Allentown, Lehigh County, PA, US",MapQuest,city/town,Seifollah Ghasemi,0,"17,031,957.00",2019,"https://sray.arabesque.com/dashboard/000BN8-E/Air_Products_and_Chemicals,_Inc.",https://shortsqueeze.com/?symbol=APD&submit=Short+Quote%E2%84%A3,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Corp.,-,PPL,PPL,NYSE,Utilities,29.52,12.83,5.22,2.79,40.2,29.21,"20,839,814,845","3,937,000,000",4,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPL,PPL Corp.,Utilities,Electric Utilities,1920,12/16/4424,"Allentown, Pennsylvania",40.6,-75.47,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Principal Financial Group,"Allentown, Pennsylvania","Allentown, Lehigh County, PA, US",MapQuest,city/town,William Spence,0,"14,142,567.00",2019,https://sray.arabesque.com/dashboard/000TLW-E/PPL_Corporation,https://shortsqueeze.com/?symbol=PPL&submit=Short+Quote%E2%84%A4,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domino's Pizza,dominos.com,DPZ,DPZ,NYSE,,,,,,,,,,,,,Domino's Pizza,Consumer Discretionary,Restaurants,1960,5/12/2020,"Ann Arbor, Michigan",42.28,-83.75,1286681,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Ann Arbor, Michigan","Ann Arbor, Washtenaw County, MI, US",MapQuest,city/town,Richard Allison,0,"5,495,804.00",2019,"https://sray.arabesque.com/dashboard/002F57-E/Domino's_Pizza,_Inc.",https://shortsqueeze.com/?symbol=DPZ&submit=Short+Quote%E2%84%A5,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES Corp,aes.com,AES,AES,NYSE,Utilities,10.06,9.96,4.96,-1.72,12.05,10,"6,920,851,212","3,001,000,000",1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,1981,10/2/1998,"Arlington, Virginia",38.89,-77.08,874761,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Arlington, Virginia","Arlington, Arlington County, VA, US",MapQuest,city/town,Andres Gluski,0,"10,827,886.00",2019,https://sray.arabesque.com/dashboard/0013FQ-E/AES_Corporation,https://shortsqueeze.com/?symbol=AES&submit=Short+Quote%E2%84%A6,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AvalonBay Communities, Inc.",avaloncommunities.com,AVB,AVB,NYSE,Real Estate,154.94,17.97,3.71,6.36,199.52,156.01,"21,856,547,430","1,331,579,000",10,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB,AvalonBay Communities,Real Estate,Residential REITs,1978,1/10/2007,"Arlington, Virginia[3]",33.71,-117.76,915912,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Arlington, Virginia[3]","3 Arlington, va, Irvine, Orange, CA, US",MapQuest,address,Timothy Naughton,0,"10,921,362.00",2019,"https://sray.arabesque.com/dashboard/000CNK-E/AvalonBay_Communities,_Inc.",https://shortsqueeze.com/?symbol=AVB&submit=Short+Quote%E2%84%A7,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Business Machines,-,IBM,IBM,NYSE,Information Technology,147.59,10.67,3.9,6.11,182.79,139.13,"142,000,000,000","16,557,000,000",2,8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM,International Business Machines,Information Technology,IT Consulting & Other Services,1911,3/4/1957,"Armonk, New York",41.13,-73.71,51143,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Armonk, New York","Armonk, Westchester County, NY, US",MapQuest,city/town,Virginia Rometty,0,"20,160,865.00",2019,https://sray.arabesque.com/dashboard/000N1N-E/International_Business_Machines_Corporation,https://shortsqueeze.com/?symbol=IBM&submit=Short+Quote%E2%84%A8,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwell Collins,#N/A,COL,ROL,NYSE,Industrials,133.31,22.29,0.97,4.8,139.63,89.9,"22,197,870,556","1,696,000,000",4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,1948,10/1/2018,"Atlanta, Georgia",33.75,-84.39,84839,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,#N/A,#N/A,#N/A,#N/A,-,https://shortsqueeze.com/?symbol=ROL&submit=Short+Quote%E2%84%A9,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Air Lines Inc.,deltaairlines-flights.com,DAL,DAL,NYSE,Industrials,51.23,10.37,2.27,4.94,60.79,43.81,"38,393,603,535","8,348,000,000",1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL,Delta Air Lines Inc.,Industrials,Airlines,1929,9/11/2013,"Atlanta, Georgia",33.75,-84.39,27904,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Edward Bastian,0,"17,325,378.00",2019,"https://sray.arabesque.com/dashboard/000HH2-E/Delta_Air_Lines,_Inc.",https://shortsqueeze.com/?symbol=DAL&submit=Short+Quote%E2%84%A10,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equifax Inc.,-,EFX,EFX,NYSE,Industrials,114,19.03,1.33,4.04,147.02,90.72,"14,121,334,618","1,141,200,000",6,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EFX,Equifax Inc.,Industrials,Research & Consulting Services,1899,6/19/1997,"Atlanta, Georgia",33.75,-84.39,33185,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Mark Begor,0,"14,281,552.00",2019,https://sray.arabesque.com/dashboard/000J81-E/Equifax_Inc.,https://shortsqueeze.com/?symbol=EFX&submit=Short+Quote%E2%84%A11,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genuine Parts,-,GPC,GPC,NYSE,Consumer Discretionary,96.31,21.17,2.72,4.6,107.75,79.86,"14,554,321,748","1,201,517,000",1,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,1925,12/31/1973,"Atlanta, Georgia",33.75,-84.39,40987,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Paul Donahue,0,"8,169,948.00",2019,https://sray.arabesque.com/dashboard/000KZV-E/Genuine_Parts_Company,https://shortsqueeze.com/?symbol=GPC&submit=Short+Quote%E2%84%A12,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
